"Content_ID","Map_ID","Content_Concept_1","Content_Relation_Direction","Content_Relation_Type","Content_Concept_2","Content_Username","Content_IP","Content_Date","Content_Merged_Concept_1","Content_Merged_Concept_2","Content_Source_ID","Content_Speech_ID","Content_Remark","User_ID","Content_Relation_Remark_Choice","Content_Relation_Explanation"
3,3,"French economic policy","positive","Causal","situation economic et financiere convenable","femke","84.83.226.68","2012/8/2 23:09:47","French economic policy","French good economic & financial situation",5,2,,,,
4,3,"la continuite politique","positive","Causal","convenable situation economique et financiere","femke","84.83.226.68","2012/8/2 23:09:59","Political continuity","French good economic & financial situation",5,2,,,,
5,3,"une monnaie","positive","Causal","bonne expansion","femke","131.211.197.253","2013/3/4 17:07:58","exchange rate policy","economic growth",6,2,,,,
6,3,"bonne expansion","positive","Causal","bonne independance nationale","femke","84.83.226.68","2012/8/2 23:10:27","economic growth","national independence",6,2,,,,
7,3,"sans monnaie","positive","Causal","mendiant","femke","131.211.197.253","2013/3/4 17:08:47","exchange rate policy","economic growth",6,2,"*",,,
8,3,"Devaluation de 1958","positive","Causal","""reussi""","femke","84.83.226.68","2013/4/25 20:41:39","Devaluation","Benefit of our state",7,2,,,,
9,3,"""maitrise""","positive","Causal","Renouveau d'inflation","femke","84.83.226.68","2013/4/25 20:41:54","French economic policy","Price stability",7,2,"*",,,
10,3,"""plan"" ""reussi""","positive","Causal","de stabilisation ""reussi""","femke","84.83.226.68","2012/8/2 23:16:43","French economic policy","Price stability",7,2,,,,
12,3,"La France","positive","Causal","Stabiliser l'economie","femke","84.83.226.68","2012/8/2 23:18:19","French economic policy","economic stability",8,2,,,,
13,3,"La France","positive","Causal","expansion","femke","84.83.226.68","2012/8/2 23:19:08","French economic policy","economic growth",8,2,,,,
14,3,"elections","negative","Causal","Stabilite monetaire","femke","84.83.226.68","2012/8/2 23:37:49","elections","monetary stability",9,2,,,,
15,3,"pause economique (gb, germ, us)","positive","Causal","Ce palier","femke","84.83.226.68","2012/8/2 23:25:09","economic stability","economic growth",9,2,,,,
16,3,"systeme monetaire international","negative","Causal","L'inflation monnaies de reserve","femke","84.83.226.68","2013/4/25 20:42:13","International monetary system","Price stability",10,2,"*",,,
17,3,"systeme monetaire international","positive","Causal","""favorise"" monnaie de reserves","femke","84.83.226.68","2013/4/25 20:42:31","International monetary system","Benefit of USA",10,2,,,,
18,3,"systeme monetaire international","negative","Causal","'au profit de"" pays qui n'en paient pas le prix","femke","84.83.226.68","2013/4/25 20:42:45","International monetary system","Benefit of our state",10,2,,,,
19,3,"systeme monetaire international fonde sur l'or","positive","Causal","inflation","femke","84.83.226.68","2013/4/25 20:43:00","Gold-based int mon system","Price stability",10,2,"*",,,
