"Speech_Content_ID","Speech_ID","Speech_Content_Title","Speech_Content_Description","User_ID"
1,1,"p 4","about integration",
4,1,"p 5","about economics",
5,2,"k1-3","French economic policy",
6,2,"k1-5","exchange-rate policy",
7,2,"k1-6","Price stability",
8,2,"k1-7","economic policy",
9,2,"k2-5","economic policy",
10,2,"k3-10","international monetary system",
11,3,"k1-2","Foreign policy",
12,3,"k1-4","economic policy",
13,3,"k1-5","economic policy",
14,4,"54-2","economic & exchange rate policy",
15,4,"56-1","financial&echange rate policy",
16,4,"56-3","Budgetary policy",
18,5,"230-1","int economic policy, europe",
19,6,"231-1","exchange-rate policy",
21,6,"231-4","economic policy",
22,6,"231-6","exchange-rate policy",
23,6,"231-7","exchange-rate policy",
24,6,"231-8","exchange-rate policy",
25,6,"232-1","monetary policy",
26,6,"232-2","exchange-rate policy",
27,6,"232-3","exchange-rate policy",
28,6,"232-4","exchange-rate policy",
30,6,"232-6","economic policy",
31,6,"232-7","economic policy",
32,6,"232-8","economic policy",
33,7,"66-3","intergov / emu",
34,7,"66-5","Europe",
35,7,"68-1","Europa / Eco-mon integration",
36,8,"110-2","international monetary policy/ european monetary integration",
37,8,"110-3","Eco-mon integration",
38,8,"110-4","Eco-mon integration",
40,8,"110-5","European monetary cooperation",
41,8,"111-3","Europa / Eco-mon integration",
42,8,"111-4","European confederation",
43,9,"617-2-1","European integration",
44,9,"618-1-2","European integration",
45,9,"618-1-3","European integration",
46,9,"618-1-4","European integration -technocracy",
47,9,"618-1-5","European integration",
48,9,"618-1-6","European integration - worldpower",
51,10,"13-2","German European policy",
52,10,"15-3","European integration",
53,10,"15-4","European integration / F-G",
54,10,"18-2","enlargement",
55,10,"18-3","enlargement",
56,11,"21-3","European integration",
57,11,"21-4","European integration",
58,11,"21-5","European integration / F-G",
59,11,"21-6","European integration",
60,12,"93-3","european eco&mon policy",
61,12,"93-4","european eco&mon policy",
62,12,"93-5","european eco&mon policy",
63,12,"93-6","european eco&mon policy",
64,13,"114-5","European integration / F-G",
66,13,"115-7","European integration",
67,14,"126-4","European integration",
68,14,"126-5","European integration / mon policy",
69,14,"127-3","European integration",
70,14,"127-8","European integration / East-west",
71,15,"170-5","European integration / int",
72,15,"171-2","European integration / int",
73,16,"224-5","monetary policy",
74,16,"226-5","European integration",
75,16,"227-2","European integration",
76,16,"227-3","European integration",
77,16,"227-4","European integration",
78,16,"227-5","European integration - worldpower",
79,16,"232-5","Europe",
80,16,"233-2","European integration - worldpower",
81,17,"175-6","EMU",
82,17,"176-3","EMU",
83,17,"176-5","EMU",
84,17,"177-2","EMU",
85,18,"237-3","EMU",
86,18,"238-4","EMU",
87,18,"238-5","EMU",
88,18,"238-6","EMU",
89,19,"267-6","emu",
90,19,"268-3","emu",
91,20,"298-3","emu",
92,21,"312-3","emu",
93,21,"314-2","emu",
94,21,"314-3","emu",
95,22,"253-2","emu",
96,22,"254-5","emu",
97,23,"16-3","emu",
98,23,"16-4","emu",
99,23,"16-5","European integration / mon policy",
100,24,"1-1","public finances",
101,24,"1-2","public finances",
102,24,"1-3","public finances",
103,24,"2-1","SGP",
104,24,"2-2","SGP Public finances",
105,24,"2-3","SGP Public finances",
106,24,"2-4","SGP Public finances",
107,24,"3-1","SGP",
108,24,"3-2","SGP",
109,24,"3-3","SGP",
110,24,"3-4","SGP",
111,24,"3-5","SGP",
112,24,"4-3","SGP",
113,25,"8-2","Monetary union, crisis, Germany",
114,25,"9-2","SGP, crisis",
115,25,"10-1","euro-crisis, public finances",
116,26,"3-3","EMU, economic integration",
117,26,"5-2","EMU, sound public finances",
118,26,"5-3","EMU, sound public finances",
119,26,"6-3","eurocrisis, public finances",
120,26,"7-1","SGP",
121,26,"7-2","SGP",
122,26,"7-3","EMU, economic integration",
123,26,"9-1","Emu, crisis",
124,27,"2-2","SGP",
125,27,"2-3","SGP",
126,27,"2-4","SGP",
127,27,"2-5","SGP",
128,27,"3-1","SGP",
129,27,"3-2","SGP",
131,27,"3-3","SGP",
132,26,"6-2","eurocrisis public finances",
133,27,"3-4","SGP",
134,27,"3-7","SGP",
135,27,"4-1","SGP",
136,27,"4-3","SGP",
137,27,"4-4","SGP",
138,27,"4-6","SGP",
139,27,"5-6","SGP",
140,27,"6-1","SGP",
141,27,"6-2","SGP",
142,27,"6-3","SGP",
143,27,"6-4","SGP",
144,27,"6-5","SGP",
145,27,"6-6","SGP",
146,27,"7-1","SGP",
147,27,"7-2","SGP",
148,27,"7-3","SGP",
149,27,"7-4","SGP",
150,27,"7-6","SGP",
151,27,"8-1","SGP",
152,27,"8-3","SGP",
153,27,"8-5","SGP",
154,27,"8-6","SGP",
155,27,"9-1","SGP",
156,27,"9-2","SGP",
157,27,"9-3","SGP",
158,27,"8-2","SGP",
159,28,"3-4","ecb eurocrisis",
160,28,"4-2","ecb",
161,28,"5-2","ecb eurocrisis",
162,28,"5-3","ecb eurocrisis",
163,28,"5-4","ecb eurocrisis",
164,28,"9-3","public finances eurocrisis",
165,28,"10-1","ecb eurocrisis",
166,28,"10-4","emu public finances eurocrisis",
167,29,"10-3","Eurocrisis EMU",
168,29,"11-1","EMU",
169,29,"11-2","ecb",
170,29,"11-3","Eurocrisis EMU",
171,29,"12-2","Eurocrisis EMU",
172,29,"12-3","Eurocrisis EMU",
173,29,"12-4","SGP EMU",
174,29,"12-5","ECB public finances",
175,29,"13-2","Eurocrisis EMU",
176,29,"13-3","Eurocrisis EMU",
177,29,"14-2","SGP EMU",
178,30,"1-1","Eurocrisis EMU public finances",
179,30,"1-2","Eurocrisis ecb",
180,30,"1-3","Eurocrisis emu",
181,30,"1-4","Eurocrisis EMU ecb",
185,31,"11-2","geldpolitik",
188,31,"13-1","geldpolitik pricestability",
189,31,"13-3","ECB public finances",
191,31,"13-6","SGP EMU",
192,31,"14-2","SGP reform",
193,31,"14-5","ecb interestrates",
195,31,"15-3","ECB price stability",
196,31,"15-4","ECB price stability",
199,32,"1-12","liquidity price stability",
200,32,"1-14","liquidity price stability",
201,32,"2-12","liquidity price stability",
202,32,"2-15","price stability",
203,32,"3-6","emu monetary analysis",
204,33,"1-2","inflation",
205,33,"2-6","enlargement inflation",
206,33,"2-7","convergence inflation",
207,33,"3-2","Euro exchange-rate inflation",
208,33,"5-3","Euro exchange-rate inflation",
209,33,"8-1","banking crisis liquidity pricestability",
210,33,"8-2","banking crisis liquidity pricestability",
211,34,"2-4","independent ECB price stability",
212,34,"3-3","independent mon policy emu",
213,34,"3-4","price stability",
214,34,"3-5","independent ECB price stability",
215,34,"4-2","price stability the people",
216,34,"4-3","price stability the people",
217,34,"4-4","price stability the people",
218,34,"5-2","EMU",
219,35,"3-4","public finances",
220,35,"3-5","Euro sgp public finances",
221,35,"3-6","Euro sgp public finances",
223,35,"3-7","emu greece public finances",
224,35,"3-8","emu crisis solidarity",
225,35,"4-1","emu crisis",
227,36,"2-1","Euro",
228,36,"2-2","Euro SGP",
229,36,"2-3","speculation SGP",
230,36,"2-4","euro inflation public finances",
231,36,"2-5","markets wachstum public finances",
236,37,"2-4","crisis",
237,37,"2-5","crisismanagement stabilitat eurozone",
238,37,"2-6","crisis EU",
240,37,"3-2","sgp",
241,37,"3-3","crisismanagement",
243,38,"2-5","crisis",
244,38,"3-1","euro eu crisis",
245,38,"3-2","crisis solidarity speculation trust",
246,38,"3-3","crisis welfare cooperation",
247,38,"3-4","euro social welfare economy",
248,38,"3-6","SGP trust solidarity",
249,39,"2-4","euro competitiveness",
250,39,"2-5","euro europe",
251,39,"2-6","euro competitiveness",
252,39,"2-9","euro europe",
253,40,"2-4","Euro wachstum stabilitat",
254,40,"2-5","Euro wachstum arbeit",
255,40,"2-6","Euro stabilitat EU",
256,40,"2-7","schuldenkrise",
257,40,"3-1","schuldenkrise sgp",
258,40,"3-2","europluspakt wettbewerb",
259,40,"3-3","EFSF solidaritat",
260,40,"3-4","Euro stabilitat",
261,40,"3-6","ankaufe staatsanleihen",
262,40,"3-7","euro hilfe wettbewerb",
264,40,"4-1","Eurobonds wettbewerb haushaltspolitik",
265,40,"4-2","sgp",
266,40,"4-3","public finances maastricht criteria",
267,40,"3-5","EFSF",
269,41,"4-6","emu price stability, trade",
270,41,"5-1","euro exchange markets",
271,41,"5-2","emu price stability, fiscal policy",
272,41,"5-3","emu spekulation",
274,41,"5-5","emu public finances bail out",
275,41,"5-6","emu crisis",
276,41,"5-7","emu crisis",
277,41,"6-1","emu crisis",
278,41,"6-2","emu convergence criteria",
280,42,"3-1","euro price stability",
281,42,"3-3","euro economic growth",
282,42,"7-1","euro skepsis pol union",
283,42,"7-2","emu harmonisation",
284,42,"8-1","emu harmonisation",
288,42,"12-2","euro price stability",
290,42,"15-2","Euro trade",
291,42,"16-2","euro handel price stability",
292,42,"17-1","euro public finances price stability",
293,43,"2-1","Euro benefits for citizens",
294,43,"2-2","Euro benefits for citizens",
295,43,"2-3","Euro ezb trust",
296,43,"2-4","Euro ezb stabilitat",
297,44,"4-7","Euro common market enlargment",
298,44,"5-2","independent ecb euro",
299,44,"5-3","independent ecb",
300,44,"5-4","price stability liquidity crisis",
301,44,"5-5","Emu frieden",
302,45,"1-3","euro peace",
303,45,"1-4","euro stabilitat ezb",
304,45,"2-1","euro wachstum vertrauen",
305,45,"2-2","euro ezb price stability vertrauen",
306,45,"2-4","euro ezb price stability wachstum",
307,45,"2-6","ezb price stability sgp wachstum",
