"Speech_ID","Speech_Identifier","Speech_Name","Speech_Speaker_ID","Speech_Date","Speech_Location","User_ID"
2,"Pompidou 1967-02-15","Nous ne devons pas compromettre la stabilité monétaire.",4,"1967-02-15","Speech for the Association des Journalistes Spécialisés",
3,"Pompidou 1967-04-20","La rencontre de Rome entre les dirigeants des Six doit permettre de déterminer les perspectives dúne coopération politique.",4,"1967-04-20","Debate on general politics at the Palais Bourbon",
4,"Pompidou 1969-02-12","Conference at the French Circle in Genève",4,"1969-02-12","Genève",
5,"Pompidou 1969-07-10","Pressconference held at the Elysée",4,"1969-07-10","Paris",
6,"Pompidou 1969-08-08","Speech held after the Council of Ministers",4,"1969-08-08",,
7,"Pompidou 1970-04-14","Interview with la Revue Réalités",4,"1970-04-14",,
8,"Pompidou 1970-07-02","Pressconference, Paris",4,"1970-07-02","Paris",
9,"Pompidou 1965-07-17","The Policy of France. Independence of Europe. Speech delivered before the French National Assembly",4,"1965-07-17","Paris",
10,"Brandt 1966-12-14","'Friedenspolitik in Europa.’ Speech for the Assembly of the Western European Union",3,"1966-12-14",,
11,"Brandt 1967-01-24","Für die Einheit Europas.’ Speech for the Assembly of the Council of Europe in Strassburg",3,"1967-01-24","Strassburg",
12,"Brandt 1968-11-28","Interview with Südwestfunk",3,"1968-11-28",,
13,"Brandt 1969-01-08","Interview with the Swiss Journal Weltwoche",3,"1969-01-08","Switzerland",
14,"Brandt 1969-01-15","Es geht um ein gesundes Europa. in BUNTE-Illustrierten",3,"1969-01-15",,
15,"Brandt 1969-03-00","Interview for a special meeting of the Bundeszentrale für Politische Bildung und der Europa-Union",3,,,
16,"Brandt 1969-05-20","Speech for the Foreign Affairs Association (Gesellschaft für Auslandskunde) in Munich",3,"1969-05-20","Munich",
17,"Brandt 1970-07-02","Speech for the the Federation of German Wholesale and Foreign Trade (Bundesverband des Deutschen Groß- und Außenhandels) in Bonn",3,"1970-07-02","Bonn",
18,"brandt 1970-11-06","Declaration on European policy in the Bundestag.",3,"1970-11-06","Bonn",
19,"Brandt 1971-02-26","Speech for the Plenary Assembly of the Deutschen Industrie- und Handelstages in Bonn.",3,"1971-02-26","Bonn",
20,"Brandt 1971-06-24","Declaration in the Bundestag during its 131th Session",3,"1971-06-24","Bonn",
21,"Brandt 1971-07-06","Interview with Le Monde, Paris, concerning the EEC",3,"1971-07-06","Paris",
22,"Brandt 1971-09-27","Interview with der Spiegel",3,"1971-09-27",,
